PLACE_NAME,FEATURE,LONGITUDE,LATITUDE,geometry,suburb,postcode
MOUNT CLEAR SECONDARY COLLEGE,SECONDARY SCHOOL,143.8766,-37.607,POINT (2400824.055420277 2431949.3066944666),MOUNT CLEAR,3357.0
VIEWBANK COLLEGE,SECONDARY SCHOOL,145.0865,-37.741,POINT (2507631.5373240355 2417744.9461323526),VIEWBANK,3084.0
Yarram Secondary College - Devon North Campus,SECONDARY SCHOOL,146.6478,-38.519,POINT (2643730.207553347 2330161.818601803),DEVON NORTH,
Bass Coast College - San Remo Campus,SECONDARY SCHOOL,145.3905,-38.532,POINT (2534061.1052171467 2329809.2720654747),SAN REMO,3925.0
SANDRINGHAM SECONDARY COLLEGE BEAUMARIS CAMPUS,SECONDARY SCHOOL,145.0312,-37.978,POINT (2502746.435917485 2391445.676364539),BEAUMARIS,3193.0
SANDRINGHAM SECONDARY COLLEGE HIGHETT CAMPUS,SECONDARY SCHOOL,145.0212,-37.955,POINT (2501868.406406302 2393912.2221767586),SANDRINGHAM,3188.0
SANDRINGHAM SECONDARY COLLEGE SANDRINGHAM CAMPUS,SECONDARY SCHOOL,145.0254,-37.956,POINT (2502233.993617093 2393881.0541395023),SANDRINGHAM,3191.0
BEAUMARIS SECONDARY COLLEGE,SECONDARY SCHOOL,145.034,-37.978,POINT (2502994.186749523 2391421.1723456345),BEAUMARIS,3193.0
PENOLA CATHOLIC COLLEGE,SECONDARY SCHOOL,144.9079,-37.709,POINT (2491880.327970704 2421254.8904169593),GLENROY,3041.0
SUNSHINE NORTH SECONDARY COLLEGE,SECONDARY SCHOOL,144.8434,-37.774,POINT (2486211.2802575794 2414064.5974380244),SUNSHINE NORTH,3020.0
SUNSHINE COLLEGE - SUNSHINE TEACHING UNIT,SECONDARY SCHOOL,144.837,-37.775,POINT (2485648.560302217 2413940.4593768427),SUNSHINE NORTH,3020.0
SUNSHINE COLLEGE - WESTERN REGION DEAF FACILITY,SECONDARY SCHOOL,144.794,-37.786,POINT (2481857.961257876 2412668.985409257),SUNSHINE WEST,3020.0
ECHUCA HIGH SCHOOL,SECONDARY SCHOOL,144.7376,-36.118,POINT (2476381.7984218556 2597780.4669867307),ECHUCA,3564.0
ECHUCA SECONDARY COLLEGE,SECONDARY SCHOOL,144.7324,-36.132,POINT (2475915.31903641 2596233.513329776),ECHUCA,3564.0
KAMBRYA COLLEGE,SECONDARY SCHOOL,145.3474,-38.053,POINT (2530492.057562925 2383009.0812727762),BERWICK,3806.0
OFFICER SECONDARY COLLEGE,SECONDARY SCHOOL,145.4109,-38.072,POINT (2536061.8811756074 2380952.252875233),OFFICER,3809.0
MARYBOROUGH REGIONAL COLLEGE NOLAN STREET CAMPUS,SECONDARY SCHOOL,143.7412,-37.05,POINT (2388051.6435588268 2493667.4463463333),MARYBOROUGH,3465.0
COLAC SECONDARY COLLEGE MURRAY STREET CAMPUS,SECONDARY SCHOOL,143.5662,-38.335,POINT (2374637.475404738 2350786.6111856624),COLAC,3250.0
MARYBOROUGH REGIONAL COLLEGE PALMERSTON STREET CAMPUS,SECONDARY SCHOOL,143.7348,-37.044,POINT (2387474.77372632 2494306.762945343),MARYBOROUGH,3465.0
MARYBOROUGH SPECIALIST SCHOOL,SECONDARY SCHOOL,143.7423,-37.046,POINT (2388145.065714187 2494069.288036596),MARYBOROUGH,3465.0
MARYBOROUGH EAST PRIMARY SCHOOL,SECONDARY SCHOOL,143.7479,-37.053,POINT (2388647.984685428 2493366.8100536913),MARYBOROUGH,3465.0
MARYBOROUGH EDUCATION CENTRE PALMERSTON JUNIOR CAMPUS,SECONDARY SCHOOL,143.7326,-37.047,POINT (2387281.0241321935 2494026.7569796667),MARYBOROUGH,3465.0
COLAC SECONDARY COLLEGE HEARN STREET CAMPUS,SECONDARY SCHOOL,143.5875,-38.35,POINT (2376518.0643544393 2349227.010797047),COLAC,3250.0
LOWANNA COLLEGE MOE CAMPUS,SECONDARY SCHOOL,146.2493,-38.181,POINT (2609462.019457331 2368126.9951520013),MOE,3825.0
LOWANNA COLLEGE NEWBOROUGH CAMPUS,SECONDARY SCHOOL,146.2929,-38.178,POINT (2613287.409408463 2368414.51557115),NEWBOROUGH,3825.0
LOWANNA COLLEGE YALLOURN CAMPUS,SECONDARY SCHOOL,146.3059,-38.173,POINT (2614439.711249359 2368984.95346547),NEWBOROUGH,3825.0
EMMAUS COLLEGE,SECONDARY SCHOOL,145.1741,-37.847,POINT (2515323.398363765 2405904.3671443956),VERMONT SOUTH,3133.0
WARRNAMBOOL COLLEGE,SECONDARY SCHOOL,142.4726,-38.374,POINT (2279144.4259703746 2344489.1124561243),WARRNAMBOOL,3280.0
PARADE COLLEGE,SECONDARY SCHOOL,145.0047,-37.744,POINT (2500414.214893056 2417437.6508952174),PRESTON,3072.0
